epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,1091.29,0.5713,0.48063,1.02224,0.76902,0.88333,0.90454,0.6797,1.27958,0.96608,2.14442,0.000339673,0.000339673,0.000339673
156,1099.76,0.58868,0.50917,1.0622,0.70984,0.88333,0.90459,0.6746,1.27883,0.97591,2.17032,0.0003326,0.0003326,0.0003326
157,1105.2,0.58573,0.48535,1.02946,0.65444,0.91667,0.92014,0.72333,1.25625,0.95924,2.1501,0.000325526,0.000325526,0.000325526
158,1111.38,0.59098,0.49598,1.05765,0.78772,0.64801,0.95731,0.70262,1.23915,0.86739,2.05639,0.000318453,0.000318453,0.000318453
159,1119.82,0.55916,0.46683,1.02408,0.75483,0.54403,0.92404,0.66178,1.2759,0.97394,2.07665,0.000311379,0.000311379,0.000311379
160,1125.51,0.59917,0.50858,1.05274,0.78671,0.61882,0.92015,0.63241,1.37235,1.01822,2.16756,0.000304306,0.000304306,0.000304306
161,1132.42,0.56528,0.47293,1.02875,0.77416,0.54651,0.91398,0.67546,1.32911,1.13188,2.13648,0.000297232,0.000297232,0.000297232
162,1140.17,0.60675,0.52099,1.06035,0.76209,0.53854,0.8992,0.67799,1.30819,1.23649,2.1643,0.000290158,0.000290158,0.000290158
163,1145.71,0.57411,0.50263,1.05012,0.72339,0.45309,0.89478,0.68936,1.33171,1.34818,2.21386,0.000283085,0.000283085,0.000283085
164,1153.38,0.56217,0.48455,1.02048,0.76771,0.838,0.88178,0.6891,1.2929,1.25841,2.19635,0.000276011,0.000276011,0.000276011
165,1160.33,0.55583,0.46489,1.01042,0.71916,0.81667,0.89411,0.68366,1.34149,1.34072,2.24571,0.000268938,0.000268938,0.000268938
166,1165.65,0.54733,0.45523,1.01788,0.79994,0.8111,0.87913,0.68077,1.37077,1.35268,2.30649,0.000261864,0.000261864,0.000261864
167,1174.14,0.58385,0.51472,1.04071,0.75421,0.78333,0.88596,0.68383,1.33865,1.26241,2.2915,0.000254791,0.000254791,0.000254791
